"Acenocumarol","acenocumarol","vit-k-antagonistai"
"Ketoprofen","ketoprofen","nesteroidiniai-priesuzdegiminiai-preparatai-vietiniam-naudojmui"
"Ketorolac","ketorolac","acto-rugsties-dariniai-ir-jiems-artimos-medziagos"
"Ketotifen","ketotifen","kiti-rezorbcinio-veikimo-antihistamininiai-vaistai"
"Kita","kita","burnos-higienos-priemones"
"Kiti","kiti","koju-prieziuros-priemones"
"Kitos","kitos","vaistazoliu"
"Kraujotakai","kraujotakai","vaistazoliu"
"Kremai","kremai","veido-prieziuros-priemones"
"Kremai, balzamai, želė","kremai-balzamai-zele","koju-prieziuros-priemones"
"Kūno pieneliai, kremai, balzamai, aliejai","kuno-pieneliai-kremai-balzamai-aliejai","kuno-prieziuros-priemones"
"Lacidipine","lacidipine","dihidropiridino-dariniai"
"Lactic acid","lactic-acid","organines-rugstys"
"Lactic acid producing organisms","lactic-acid-producing-organisms","antidiarejiniai-mikroorganizmai"
"Lactulose","lactulose","osmoziniai-vidurius-paleidziantys-vaistai"
"Lamivudine","lamivudine","nukleozidu-atvirkstines-transriptazes-inhibitoriai"
"Lamotrigine","lamotrigine","kiti-antiepilepsiniai-preparatai"
"Lanreotide","lanreotide","somatropino-issiskyrima-slopinantys-hormonai"
"Lansoprazole","lansoprazole","protonu-siurblio-inhibitoriai"
"Lapatinib","lapatinib","protein-kinase-inhibitors"
"Latanoprost","latanoprost","antiglaukominiai-preparatai-ir-miotikai"
"Laurilsulfate, incl. combinations","laurilsulfate-incl-combinations","klizmos"
"Lercanidipine","lercanidipine","dihidropiridino-dariniai"
"Letrozole","letrozole","fermentu-inhibitoriai"
"Leuprorelin","leuprorelin","gonadropino-issisikyrima-skatinancio-hormono-analogai"
"Levamisole","levamisole","imidazotiazolo-dariniai"
"Levetiracetam","levetiracetam","kiti-antiepilepsiniai-preparatai"
"Levocetirizine","levocetirizine","piperazino-dariniai"
"Levodopa and decarboxylase inhibitor","levodopa-and-decarboxylase-inhibitor","dopa-ir-jo-dariniai"
"Levodopa, decarboxylase inhibitor and COMT inhibitor","levodopa-decarboxylase-inhibitor-and-comt-inhibitor","dopa-ir-jo-dariniai"
"Levofloxacin","levofloxacin","kiti-antiinfekciniai-vaistai"
"Levomepromazine","levomepromazine","fenotiazinai-su-alifatine-sonine-grandine"
"Levonorgestrel","levonorgestrel","progestogenai"
"Levonorgestrel and estrogen","levonorgestrel-and-estrogen","fiksuoti-progestogenu-ir-estrogenu-deriniai"
"Levothyroxine sodium","levothyroxine-sodium","skydliaukes-hormonai"
"Lidocaine","lidocaine","amidas"
"Lincomycin","lincomycin","linkozamidai"
"Linezolid","linezolid","kiti-antibakteriniai-preparatai"
"Lisinopril","lisinopril","akf-inhibitoriai-gryni"
"Lithium","lithium","litis"
"Loperamide","loperamide","zarnyno-motorika-slopinantys"
"Lopinavir","lopinavir","hiv-proteinazes-inhibitorius"
"Loratadine","loratadine","kiti-rezorbcinio-veikimo-antihistamininiai-vaistai"
"Lorazepam","lorazepam","benzodiazepino-dariniai"
"Lornoxicam","lornoxicam","oksikamai"
"Losartan","losartan","angiotenzino-ii-antagonistai-gryni"
"Losartan and diuretics","losartan-and-diuretics","angiotenzino-ii-antagonistai-kartu-su-diuretikais"
"Lūpoms","lupoms","veido-prieziuros-priemones"
"Lutropin alfa","lutropin-alfa","gonadotropinai"
"Macrogol","macrogol","osmoziniai-vidurius-paleidziantys-vaistai"
"Magaldrate","magaldrate","aliuminio-kalcio-magnio-junginiai-deriniai-kompleksai"
"Magnesium (different salts in combination)","magnesium-different-salts-in-combination","magnis"
"Magnesium citrate","magnesium-citrate","magnis"
"Magnesium orotate","magnesium-orotate","magnis"
"Magnesium sulfate","magnesium-sulfate","magnis"
"Mannitol","mannitol","tirpalai-sukeliantys-osmozine-diureze"
"Mebendazole","mebendazole","benzimidazolo-darinys"
"Mebeverine","mebeverine","sintetiniai-anticholinerginiai-tretiniai-aminai"
"Medazepam","medazepam","benzodiazepino-dariniai"
"Medicinal charcoal","medicinal-charcoal","zarnyno-adsorbentai-anglies-preparatai"
"Medroxyprogesterone","medroxyprogesterone","pregneno-4-dariniai"
"Mefloquine","mefloquine","chinino-alkaloidai"
"Megestrol","megestrol","progestogenai"
"Meloxicam","meloxicam","oksikamai"
"Melperone","melperone","butyrofenono-dariniai"
"Melphalan","melphalan","azoto-garstyciu-dariniai"
"Memantine","memantine","other-anti-dementia-drugs"
"Meningococcus, bivalent purified polysaccharides antigen","meningococcus-bivalent-purified-polysaccharides-antigen","meningokokines-vakcinos"
"Mepartricin","mepartricin","kiti-vaistai-naudojami-gerybinei-prostatos-hipertrofijos-gydymui"
"Mepivacaine","mepivacaine","amidas"
"Mercaptopurine","mercaptopurine","purinu-analogai"
"Meropenem","meropenem","karbapenemai"
"Mesalazine","mesalazine","aminosalicilo-rugstis-ir-panasus-vaistai"
"Mesna","mesna","detoksikuojantys-preparatai-vartojami-gydant-antinavikiniais-vaistais"
"Metamizole sodium","metamizole-sodium","pirazolonai"
"Metformin","metformin","biguanidai"
"Metformin and rosiglitazone","metformin-and-rosiglitazone","biguanidai-kartu-su-sulfonamidais"
"Methadone","methadone","difenilpropilamino-dariniai"
"Methyldopa (levorotatory)","methyldopa-levorotatory","metildopa"
"Methylphenidate","methylphenidate","centrinio-poveikio-simpatomimetikai"
"Methylprednisolone","methylprednisolone","gliukokortikoidai"
"Methylprednisolone aceponate","methylprednisolone-aceponate","stipraus-poveikio-kortikosteroidai-iii-grupe"
"Methotrexate","methotrexate","folines-rugsties-analogai"
"Metoclopramide","metoclopramide","motorika-reguliuojantys"
"Metoprolol","metoprolol","selektyvus-beta-adrenoblokatoriai"
"Metronidazole","metronidazole","nitroimidazolo-dariniai"
"Miconazole","miconazole","vietinio-poveikio-antiseptikai-burnai"
"Midazolam","midazolam","benzodiazepino-dariniai"
"Midodrine","midodrine","adrenergines-ir-dopaminergines-medziagos"
"Miltefosine","miltefosine","kiti-antinavikiniai-vaistai"
"Mineral salts in combination","mineral-salts-in-combination","osmoziniai-vidurius-paleidziantys-vaistai"
"Minoxidil","minoxidil","kiti-dermatologiniai-vaistai"
"Mirtazapine","mirtazapine","kiti-antidepresantai"
"Mitoxantrone","mitoxantrone","antraciklinai-ir-jiems-giminingi-preparatai"
"Mivacurium chloride","mivacurium-chloride","kiti-ketvirtinio-amonio-dariniai"
"Mycophenolic acid","mycophenolic-acid","selektyvus-imunosupresantai"
"Molsidomine","molsidomine","kiti-vazodilatatoriai-sirdies-ligoms-gydyti"
"Mometasone","mometasone","stipraus-poveikio-kortikosteroidai-iii-grupe"
"Montelukast","montelukast","leukotrienu-receptoriu-antagonistai"
"Morbilli, combinations with parotitis and rubella, live attenuated","morbilli-combinations-with-parotitis-and-rubella-live-attenuated","tymu-vakcinos"
"Morphine","morphine","naturalus-opijaus-alkaloidai"
"Moxifloxacin","moxifloxacin","fluorochinolonai"
"Moxonidine","moxonidine","imidazolino-receptoriu-agonistai"
"Multienzymes (lipase, protease etc.)","multienzymes-lipase-protease-etc","fermentu-preparatai"
"Multivitamins and calcium","multivitamins-and-calcium","multivitaminai-kartu-su-mineralais"
"Multivitamins and other minerals, incl. combinations","multivitamins-and-other-minerals-incl-combinations","multivitaminai-kartu-su-mineralais"
"Nabumetone","nabumetone","kiti-nesteroidiniai-priesuzdegiminiai-ir-priesreumatiniai-vaistai"
"Nadroparin","nadroparin","heparino-preparatai"
"Naftifine","naftifine","kiti-vietinio-veikimo-priesgrybeliniai-vaistai"
"Nagų ir odelių priežiūrai","nagu-ir-odeliu-prieziurai","koju-prieziuros-priemones"
"Naloxone","naloxone","antidotai"
"Naltrexone","naltrexone","antidotai"
"Nandrolone","nandrolone","estreno-dariniai"
"Naphazoline","naphazoline","simpatomimetikai"
"Naproxen","naproxen","nesteroidiniai-priesuzdegiminiai-preparatai-vietiniam-naudojmui"
"Naratriptan","naratriptan","selektyvus-5ht1-receptoriu-antagonistai"
"Nebivolol","nebivolol","selektyvus-beta-adrenoblokatoriai"
"Neostigmine","neostigmine","anticholinesterazes"
"Nervų sistemai","nervu-sistemai","vaistazoliu"
"Nicergoline","nicergoline","skalsiu-alkaloidai"
"Nicotine","nicotine","preparatai-pries-rukyma"
"Nifedipine","nifedipine","dihidropiridino-dariniai"
"Nifuratel","nifuratel","kiti-antiinfekciniai-ir-antiseptiniai-vaistai"
"Nimesulide","nimesulide","kiti-nesteroidiniai-priesuzdegiminiai-ir-priesreumatiniai-vaistai"
"Nitrazepam","nitrazepam","benzodiazepino-dariniai"
"Nitrendipine","nitrendipine","dihidropiridino-dariniai"
"Nitrofurantoin","nitrofurantoin","nitrofuran-derivatives"
"Nitroprusside","nitroprusside","nitrofericianido-dariniai"
"Nitroxoline","nitroxoline","kiti-antibakteriniai-preparatai"
"Nystatin","nystatin","antibiotikai"
"Nystatin, combinations","nystatin-combinations","antibiotikai"
"Norelgestromin and estrogen","norelgestromin-and-estrogen","fiksuoti-progestogenu-ir-estrogenu-deriniai"
"Norethisterone and estrogen","norethisterone-and-estrogen","fiksuoti-progestogenu-ir-estrogenu-deriniai"
"Norfloxacin","norfloxacin","fluorochinolonai"
"Norgestimate and estrogen","norgestimate-and-estrogen","fiksuoti-progestogenu-ir-estrogenu-deriniai"
"Nortriptyline","nortriptyline","neselektyvus-monoaminu-atgalinio-sugrazinimo-inhibitoriai"
"Nuo peršalimo","nuo-persalimo","vaistazoliu"
"Nuo pleiskanų","nuo-pleiskanu","plauku-prieziuros-priemones"
"Nuo slinkimo","nuo-slinkimo","plauku-prieziuros-priemones"
"Nuospaudoms","nuospaudoms","koju-prieziuros-priemones"
"Octreotide","octreotide","somatropino-issiskyrima-slopinantys-hormonai"
"Ofloxacin","ofloxacin","fluorochinolonai"
"Olanzapine","olanzapine","diazepinai-oksazepinai-ir-tiazepinai"
"Olmesartan medoxomil","olmesartan-medoxomil","angiotenzino-ii-antagonistai-gryni"
"Olmesartan medoxomil and diuretics","olmesartan-medoxomil-and-diuretics","angiotenzino-ii-antagonistai-kartu-su-diuretikais"
"Olopatadine","olopatadine","kiti-antialerginiai-prep"
"Omalizumab","omalizumab","kiti-sisteminio-poveikio-antiastminiai-vaistai"
"Omega-3-triglycerides","omega-3-triglycerides","kiti-cholesterolio-ir-trigliceridu-kieki-kraujyje-mazinantys-vaistai"
"Omeprazole","omeprazole","protonu-siurblio-inhibitoriai"
"Omoconazole","omoconazole","imidazolo-dariniai"
"Ondansetron","ondansetron","serotonino-antagonistas"
"Opium derivatives and expectorants","opium-derivatives-and-expectorants","opijaus-dariniai-ir-ekspektorantai"
"Ordinary salt combinations","ordinary-salt-combinations","aliuminio-kalcio-magnio-junginiai-deriniai-kompleksai"
"Organo-heparinoid","organo-heparinoid","preparatai-su-heparinu-vietiniam-naudojimui"
"Orlistat","orlistat","periferinio-poveikio-vaistai-nutukimui-gydyti"
"Oseltamivir","oseltamivir","neuraminidase-inhibitors"
"Other preparations, combinations","other-preparations-combinations","kiti-vietiskai-veikiantys-antihemorojiniai-preparatai"
"Otilonium bromide","otilonium-bromide","sintetiniai-anticholinerginiai-ketvirtiniai-amonio-junginiai"
"Oxacillin","oxacillin","beta-laktamazei-atsparus-penicilinai"
"Oxaliplatin","oxaliplatin","platinos-dariniai"
"Oxaprozin","oxaprozin","propiono-rugsties-dariniai"
"Oxazepam","oxazepam","benzodiazepino-dariniai"
"Oxcarbazepine","oxcarbazepine","karboksamido-dariniai"
"Oxeladin","oxeladin","kiti-kosuli-slopinantys-prep"
"Oxybutynin","oxybutynin","urologiniaai-antispazminiai"
"Oxymetazoline","oxymetazoline","simpatomimetikai"
"Oxytocin","oxytocin","oksitocinas-ir-dariniai"
"Paclitaxel","paclitaxel","taksanai"
"Paketai","paketai","intymios-higienos-priemones"
"Pamidronic acid","pamidronic-acid","bisfosfonatai"
"Pantoprazole","pantoprazole","protonu-siurblio-inhibitoriai"
"Papillomavirus (human types 16, 18)","papillomavirus-human-types-16-18","papillomavirus-vaccines"
"Papillomavirus (human types 6, 11, 16, 18)","papillomavirus-human-types-6-11-16-18","papillomavirus-vaccines"
"Paracetamol","paracetamol","anilidai"
"Paracetamol, combinations excl. psycholeptics","paracetamol-combinations-excl-psycholeptics","anilidai"
"Paracetamol, combinations with psycholeptics","paracetamol-combinations-with-psycholeptics","anilidai"
"Paroxetine","paroxetine","selektyvus-serotonino-atgalinio-sugrazinimo-inhibitoriai"
"Peginterferon alfa-2a","peginterferon-alfa-2a","interferonai"
"Peginterferon alfa-2b","peginterferon-alfa-2b","interferonai"
"Pemetrexed","pemetrexed","folines-rugsties-analogai"
"Penciclovir","penciclovir","priesvirusiniai"
"Penicillamine","penicillamine","penicilaminas-ir-panasus-preparatai"
"Pentoxifylline","pentoxifylline","purino-dariniai"
"Perindopril","perindopril","akf-inhibitoriai-gryni"
"Perindopril and diuretics","perindopril-and-diuretics","akf-infibitoriai-kartu-su-diuretikais"
"Permethrin","permethrin","piretrinai-ir-ju-sintetiniai-junginiai"
"Pethidine","pethidine","fenilpiperidino-dariniai"
"Phenytoin","phenytoin","hidantoino-dariniai"
"Phenoxymethylpenicillin","phenoxymethylpenicillin","beta-laktamazei-jautrus-penicilinai"
"Phytomenadione","phytomenadione","vitaminas-k"
"Pilocarpine","pilocarpine","m-cholinamimetikai"
"Pimecrolimus","pimecrolimus","kiti-dermatologiniai-vaistai"
"Pioglitazone","pioglitazone","tiazolinedionai"
"Pipecuronium bromide","pipecuronium-bromide","kiti-ketvirtinio-amonio-dariniai"
"Pipemidic acid","pipemidic-acid","kiti-chinolonai-neiskant-g04ab"
"Piperacillin and enzyme inhibitor","piperacillin-and-enzyme-inhibitor","penicilinu-deriniai-iskaitant-beta-laktamazes-inhibitorius"
"Piracetam","piracetam","kiti-psichostimuliatoriai-ir-nootropai"
"Piroxicam","piroxicam","nesteroidiniai-priesuzdegiminiai-preparatai-vietiniam-naudojmui"
"Pygeum africanum","pygeum-africanum","kiti-vaistai-naudojami-gerybinei-prostatos-hipertrofijos-gydymui"
"Pyrantel","pyrantel","tetrahidropirimidino-dariniai"
"Pyrazinamide","pyrazinamide","kiti-vaistai-tuberkuliozes-gydymui"
"Pyridostigmine","pyridostigmine","anticholinesterazes"
"Pyridoxine (vit B6)","pyridoxine-vit-b6","kiti-grynu-vitaminu-preparatai"
"Pneumococcus, purified polysaccharides antigen","pneumococcus-purified-polysaccharides-antigen","pneumokokines-vakcinos"
"Pneumococcus, purified polysaccharides antigen conjugated","pneumococcus-purified-polysaccharides-antigen-conjugated","pneumokokines-vakcinos"
"Podophyllotoxin","podophyllotoxin","priesvirusiniai"
"Policresulen","policresulen","fenolio-dariniai"
"Polystyrene sulfonate","polystyrene-sulfonate","vaistai-hiperkalemijai-gydyti"
"Posaconazole","posaconazole","triazolo-dariniai"
"Potassium chloride","potassium-chloride","kalis"
"Potassium iodide","potassium-iodide","kiti-preparatai-akiu-ligoms-gydyti"
"Potassium permanganate","potassium-permanganate","antidotai"
"Povidone-iodine","povidone-iodine","kiti-antiinfekciniai-ir-antiseptiniai-vaistai"
"Pramipexole","pramipexole","dopamino-agonistai"
"Pramiracetam","pramiracetam","kiti-psichostimuliatoriai-ir-nootropai"
"Prausimosi priemonės","prausimosi-priemones","kuno-prieziuros-priemones"
"Prednisolone","prednisolone","gliukokortikoidai"
"Pregabalin","pregabalin","kiti-antiepilepsiniai-preparatai"
"Prenoxdiazine","prenoxdiazine","kiti-kosuli-slopinantys-prep"
"Priešuždegiminės","priesuzdegimines","vaistazoliu"
"Primidone","primidone","barbituratai-ir-ju-dariniai"
"Probleminei jaunatvinei odai","probleminei-jaunatvinei-odai","veido-prieziuros-priemones"
"Proguanil, combinations","proguanil-combinations","biguanidai"
"Propafenone","propafenone","antiaritmikai-ic-klase"
"Propofol","propofol","kiti-bendrieji-anestetikai"
"Propranolol","propranolol","neselektyvus-beta-adrenoblokatoriai"
"Protamine","protamine","antidotai"
"Protionamide","protionamide","tiokarbamido-dariniai"
"Proxymetacaine","proxymetacaine","vietiniai-anestetikai"
"Pseudoephedrine","pseudoephedrine","simpatomimetikai"
"Pseudoephedrine, combinations","pseudoephedrine-combinations","simpatomimetikai"
"Quetiapine","quetiapine","diazepinai-oksazepinai-ir-tiazepinai"
"Quinapril","quinapril","akf-inhibitoriai-gryni"
"Quinapril and diuretics","quinapril-and-diuretics","akf-infibitoriai-kartu-su-diuretikais"
"Rabeprazole","rabeprazole","protonu-siurblio-inhibitoriai"
"Rabies immunoglobulin","rabies-immunoglobulin","specifiniai-imunoglobulinai"
"Raloxifene","raloxifene","selective-estrogen-receptor-modulators"
"Ramipril","ramipril","akf-inhibitoriai-gryni"
"Ramipril and diuretics","ramipril-and-diuretics","akf-infibitoriai-kartu-su-diuretikais"
"Ranitidine","ranitidine","h2-histamino-receptoriu-blokatoriai"
"Rasagiline","rasagiline","b-tipo-mao-inhibitoriai"
"Remifentanil","remifentanil","opioidiniai-anestetikai"
"Repaglinide","repaglinide","kiti-gliukozes-kieki-kraujyje-mazinantys-vaistai"
"Retapamulin","retapamulin","kiti-antibiotikai-vietiniam-naudojimui"
"Retinol (vit A)","retinol-vit-a","vitaminas-a-grynas"
"Ribavirin","ribavirin","nukleozidai-ir-nukleotidai-neiskaitant-atvirkstines-transkriptazes-inhibitoriu"
"Rifampicin","rifampicin","antibiotikai"
"Rifampicin, combinations","rifampicin-combinations","vaistu-deriniai-tuberkuliozes-gydymui"
"Rilmenidine","rilmenidine","imidazolino-receptoriu-agonistai"
"Rimantadine","rimantadine","ciklines-strukturos-aminai"
"Risedronic acid","risedronic-acid","bisfosfonatai"
"Risperidone","risperidone","kiti-antipsichotiniai-vaistai"
"Ritonavir","ritonavir","hiv-proteinazes-inhibitorius"
"Rivaroxabanum","rivaroxabanum","kiti-antitromboziniai-preparatai"
"Rizatriptan","rizatriptan","selektyvus-5ht1-receptoriu-antagonistai"
"Rocuronium bromide","rocuronium-bromide","kiti-ketvirtinio-amonio-dariniai"
"Ropinirole","ropinirole","dopamino-agonistai"
"Rosiglitazone","rosiglitazone","tiazolinedionai"
"Rosuvastatin","rosuvastatin","hmg-coa-reduktazes-inhibitoriai"
"Rota virus, live attenuated","rota-virus-live-attenuated","rotavirusines-vakcinos"
"Rota virus, pentavalent, live, reassorted","rota-virus-pentavalent-live-reassorted","rotavirusines-vakcinos"
"Rutoside","rutoside","bioflavonoidai"
"Rutoside, combinations","rutoside-combinations","bioflavonoidai"
"Saccharated iron oxide","saccharated-iron-oxide","fe-iii-parenteraliniai-preparatai"
"Saccharomyces boulardii","saccharomyces-boulardii","antidiarejiniai-mikroorganizmai"
"Salbutamol","salbutamol","selektyvus-beta-2-adrenoreceptoru-agonistai"
"Salmeterol","salmeterol","selektyvus-beta-2-adrenoreceptoru-agonistai"
"Salmeterol and other anti-asthmatics","salmeterol-and-other-anti-asthmatics","simpatomimetikai-ir-kiti-antiastminiai-vaistai"
"Senna glycosides","senna-glycosides","kontaktiniai-vidurius-paleidziantys-vaistai"
"Serenoa repens","serenoa-repens","kiti-vaistai-naudojami-gerybinei-prostatos-hipertrofijos-gydymui"
"Sergant diabetu","sergant-diabetu","vaistazoliu"
"Sertraline","sertraline","selektyvus-serotonino-atgalinio-sugrazinimo-inhibitoriai"
"Sevoflurane","sevoflurane","halogeninti-angliavandeniliai"
"Sibutramine","sibutramine","centrinio-poveikio-vaistai-nutukimui-gydyti"
"Sildenafil","sildenafil","vaistai-naudojami-esant-erekcijos-sutrikimams"
"Silicones","silicones","kiti-sintetiniai-anticholinerginiai-preparatai"
"Silymarin","silymarin","vaistai-kepenu-ligoms-gydyti"
"Silver sulfadiazine","silver-sulfadiazine","sulfonamidai"
"Simvastatin","simvastatin","hmg-coa-reduktazes-inhibitoriai"
"Sirolimus","sirolimus","selektyvus-imunosupresantai"
"Sitagliptin","sitagliptin",
"Siūlai, šepetėliai tarpdančiams","siulai-sepeteliai-tarpdanciams","burnos-higienos-priemones"
"Sodium bicarbonate","sodium-bicarbonate","elektrolitai"
"Sodium chloride","sodium-chloride","elektrolitai"
"Sodium fluoride","sodium-fluoride","fluoras"
"Sodium glycerophosphate","sodium-glycerophosphate","elektrolitai"
"Sodium picosulfate","sodium-picosulfate","kontaktiniai-vidurius-paleidziantys-vaistai"
"Solifenacin","solifenacin","urologiniaai-antispazminiai"
"Somatropin","somatropin","somatropinas-ir-jo-analogai"
"Spiramycin","spiramycin","makrolidai"
"Spirapril","spirapril","akf-inhibitoriai-gryni"
"Spironolactone","spironolactone","aldosterono-antagonistai"
"Stiprinančios","stiprinancios","plauku-prieziuros-priemones"
"Strontium ranelate","strontium-ranelate","kiti-kaulu-mineralizacija-veikiantys-preparatai"
"Sucralfate","sucralfate","kiti-preparatai-opaligei-gydyti"
"Sulfamethoxazole and trimethoprim","sulfamethoxazole-and-trimethoprim","sulfonamidu-ir-trimetoprimo-deriniai-iskaitant-darinius"
"Sulfasalazine","sulfasalazine","aminosalicilo-rugstis-ir-panasus-vaistai"
"Sulpiride","sulpiride","benzamidai"
"Sultamicillin","sultamicillin","penicilinu-deriniai-iskaitant-beta-laktamazes-inhibitorius"
"Sultiame","sultiame","kiti-antiepilepsiniai-preparatai"
"Sumatriptan","sumatriptan","selektyvus-5ht1-receptoriu-antagonistai"
"Sunitinib","sunitinib","protein-kinase-inhibitors"
"Suxamethonium","suxamethonium","cholino-dariniai"
"Svorio kontrolei","svorio-kontrolei","vaistazoliu"
"Šveitikliai, vonelės","sveitikliai-voneles","koju-prieziuros-priemones"
"Tadalafil","tadalafil","vaistai-naudojami-esant-erekcijos-sutrikimams"
"Tamoxifen","tamoxifen","antiestrogenai"
"Tamponai","tamponai","intymios-higienos-priemones"
"Tamsulosin","tamsulosin","alfa-adrenoreceptoriu-antagonistai"
"Tegafur","tegafur","pirimidinu-analogai"
"Telmisartan","telmisartan","angiotenzino-ii-antagonistai-gryni"
"Temozolomide","temozolomide","kiti-alkilinantys-preparatai"
"Tenofovir disoproxil","tenofovir-disoproxil","nukleozidu-atvirkstines-transriptazes-inhibitoriai"
"Terbinafine","terbinafine","kiti-vietinio-veikimo-priesgrybeliniai-vaistai"
"Teriparatide","teriparatide","priesskydines-liaukos-hormonai"
"Terizidone","terizidone","kiti-vaistai-tuberkuliozes-gydymui"
"Terlipressin","terlipressin","vazopresinas-ir-analogai"
"Testosterone","testosterone","3-oksoandrosteno-4-dariniai"
"Tetanus toxoid, combinations with diphtheria toxoid","tetanus-toxoid-combinations-with-diphtheria-toxoid","stabliges-vakcinos"
"Tetracycline","tetracycline","tetraciklinas-ir-jo-dariniai"
"Tetrazepam","tetrazepam","kiti-centrinio-veikimo-miorelaksantai"
"Tetryzoline","tetryzoline","simpatomimetikai-naudojami-gleivines-paburkimo-mazinimui"
"Theophylline","theophylline","ksantinai"
"Thiamazole","thiamazole","sieros-turintys-imidazolo-dariniai"
"Thiopental","thiopental","barbituratai"
"Tiagabine","tiagabine","riebiuju-rugsciu-dariniai"
"Tianeptine","tianeptine","kiti-antidepresantai"
"Tiapride","tiapride","benzamidai"
"Tibolone","tibolone","other-estrogens"
"Ticlopidine","ticlopidine","trombocitu-agregacija-slopinantys"
"Timolol","timolol","beta-blokatoriai"
"Timolol, combinations","timolol-combinations","beta-blokatoriai"
"Tinidazole","tinidazole","nitroimidazolo-dariniai"
"Tioctic acid","tioctic-acid","ivairus"
"Tioguanine","tioguanine","purinu-analogai"
"Tiotropium bromide","tiotropium-bromide","anticholinerginiai"
"Tizanidine","tizanidine","kiti-centrinio-veikimo-miorelaksantai"
"Typhoid, purified polysaccharide antigen","typhoid-purified-polysaccharide-antigen","siltines-vakcinos"
"Tobramycin","tobramycin","antibiotikai"
"Tocopherol (vit E)","tocopherol-vit-e","kiti-grynu-vitaminu-preparatai"
"Tofisopam","tofisopam","benzodiazepino-dariniai"
"Tolperisone","tolperisone","kiti-centrinio-veikimo-miorelaksantai"
"Tolterodine","tolterodine","urologiniaai-antispazminiai"
"Tonikai","tonikai","veido-prieziuros-priemones"
"Topiramate","topiramate","kiti-antiepilepsiniai-preparatai"
"Topotecan","topotecan","kiti-antinavikiniai-vaistai"
"Torasemide","torasemide","sulfonamidai-gryni"
"Tramadol","tramadol","kiti-opioidai"
"Trandolapril","trandolapril","akf-inhibitoriai-gryni"
"Travoprost","travoprost","antiglaukominiai-preparatai-ir-miotikai"
"Trazodone","trazodone","kiti-antidepresantai"
"Triamcinolone","triamcinolone","gliukokortikoidai"
"Triazolam","triazolam","benzodiazepino-dariniai"
"Trihexyphenidyl","trihexyphenidyl","tretiniai-aminai"
"Trimetazidine","trimetazidine","kiti-sirdi-veikiantys-vaistai"
"Trimethoprim","trimethoprim","trimetoprimas-ir-jo-dariniai"
"Triptorelin","triptorelin","gonadropino-issisikyrima-skatinancio-hormono-analogai"
"Tromantadine","tromantadine","priesvirusiniai"
"Tropicamide","tropicamide","m-cholinoblokatoriai"
"Tropisetron","tropisetron","serotonino-antagonistas"
"Trospium","trospium","urologiniaai-antispazminiai"
"Troxerutin","troxerutin","bioflavonoidai"
"Troxerutin, combinations","troxerutin-combinations","bioflavonoidai"
"Undecylenic acid, combinations","undecylenic-acid-combinations","kiti-vietinio-veikimo-priesgrybeliniai-vaistai"
"Ursodeoxycholic acid","ursodeoxycholic-acid","tulzies-rugsciu-preparatai"
"Vaginal ring with progestogen and estrogen","vaginal-ring-with-progestogen-and-estrogen","intravaginaliniai-kontraceptikai"
"Vaikams","vaikams","vaistazoliu"
"Valaciclovir","valaciclovir","nukleozidai-ir-nukleotidai-neiskaitant-atvirkstines-transkriptazes-inhibitoriu"
"Valerian","valerian","kiti-migdantys-ir-raminantys-vaistai"
"Valganciclovir","valganciclovir","nukleozidai-ir-nukleotidai-neiskaitant-atvirkstines-transkriptazes-inhibitoriu"
"Valikliai","valikliai","veido-prieziuros-priemones"
"Valproic acid","valproic-acid","riebiuju-rugsciu-dariniai"
"Valsartan","valsartan","angiotenzino-ii-antagonistai-gryni"
"Valsartan and diuretics","valsartan-and-diuretics","angiotenzino-ii-antagonistai-kartu-su-diuretikais"
"Vancomycin","vancomycin","glikopeptidai"
"Vardenafil","vardenafil","vaistai-naudojami-esant-erekcijos-sutrikimams"
"Varenicline","varenicline","preparatai-pries-rukyma"
"Varicella, live attenuated","varicella-live-attenuated","vejaraupiu-vakcinos"
"Various","various","kiti-vietinio-veikimo-sanariu-skausmus-mazinantys-vaistai"
"Various combinations","various-combinations","fe-preparatai-kiti-deriniai"
"Venlafaxine","venlafaxine","kiti-antidepresantai"
"Verapamil","verapamil","fenilalkilamino-dariniai"
"Verapamil, combinations","verapamil-combinations","fenilalkilamino-dariniai"
"Vinblastine","vinblastine","vinca-alkaloidai-ir-ju-analogai"
"Vincristine","vincristine","vinca-alkaloidai-ir-ju-analogai"
"Vinorelbine","vinorelbine","vinca-alkaloidai-ir-ju-analogai"
"Vinpocetine","vinpocetine","kiti-psichostimuliatoriai-ir-nootropai"
"Virškinimui","virskinimui","vaistazoliu"
"Vitaminas A kartu su vitaminu","vitaminas-a-kartu-su-vitaminu","vitaminas-a-grynas"
"Vyrams","vyrams","veido-prieziuros-priemones"
"Von Willebrand factor and coagula-tion factor VIII in combination","von-willebrand-factor-and-coagula-tion-factor-viii-in-combination","kraujo-kresejimo-faktoriai"
"Voriconazole","voriconazole","triazolo-dariniai"
"Warfarin","warfarin","vit-k-antagonistai"
"Xantinol nicotinate","xantinol-nicotinate","purino-dariniai"
"Xylometazoline","xylometazoline","simpatomimetikai"
"Zanamivir","zanamivir","neuraminidase-inhibitors"
"Ziprasidone","ziprasidone","indolo-dariniai"
"Zofenopril","zofenopril","akf-inhibitoriai-gryni"
